id_dane;state;municipality;depto;mpio;y_total;SGP_total;pobl_tot;indrural;discapital;areaoficialkm2;pobreza;gini;pib_cons;pib_percapita_cons;pib_total;pib_agricola;ind_alfa;anos_est_mun;TMI;tpobc_FARC;tpobc_ELN;tpobc_DESC;tpobc_AUC;enfr_FARC;enfr_ELN;enfr_DESC;enfr_AUC;desmovilizados;desplazados_expulsion;desplazados_recepcion;polalgn_2011;margin_2011;sample_2011;polalgn_2015;margin_2015;sample_2015
5154;ANTIOQUIA;CAUCASIA;1;88;24868.2387096;11273.401463875;85938.2;0.2080276682972908;183.3147735595703;1058;0.6299999952316284;0.5062000155448914;752710.3;7.725186443328857;569453.51875;32462.665234375;82.608856201171875;7.6630706787109375;20.61;1;0;44;1;0;0;0;1;44;9714;11862;0;NA;0;0;NA;0
5172;ANTIOQUIA;CHIGORODO;1;106;15476.703062300001;8316.905988375;58244;0.1599580928683281;189.1349334716797;615;0.6565999984741211;0.5135999917984009;455431.84375;7.258304119110107;482727.6625;130223.28046875;84.579193115234375;7.018862247467041;16.872;5;0;13;0;0;0;0;0;2;12403;17877;1;21.054572271386427;0;1;19.5;0
5190;ANTIOQUIA;CISNEROS;1;91;4420.7029198;2260.5767235;9697.1;0.1956416293978691;70.43186950683594;47;0.6299999952316284;0.5062000155448914;153786.221875;16.191904067993164;135235.053125;8665.47705078125;91.46540069580078;8.007173538208008;15.298;0;6;1;1;0;0;0;0;1;531;519;0;NA;0;0;NA;0
5197;ANTIOQUIA;COCORNA;1;94;6104.8547055;4045.105158625;15521;0.7396820306777954;61.403377532958984;221;0.47049999237060547;0.4666999876499176;154098.165625;11.311685562133789;207944.5109375;36523.3740234375;81.8992691040039;6.197327613830566;17.65;14;39;30;8;0;1;0;2;75;29306;13692;0;NA;0;0;NA;0
5206;ANTIOQUIA;CONCEPCION;1;97;4065.578309;2015.824301;4577;0.6757331609725952;49.68102264404297;169;0.47049999237060547;0.4666999876499176;38680.5109375;9.383375072479248;42882.972265625;4914.601025390625;89.65406036376953;7.011972904205322;15.568;0;6;6;1;1;0;0;1;0;2131;1020;0;NA;0;0;NA;0
5209;ANTIOQUIA;CONCORDIA;1;100;6912.585784;4312.230907;21404.7;0.6213352918624878;37.552391052246094;234;0.582099974155426;0.48899999260902405;148795.190625;7.155430698394776;185213.8;54224.97890625;77.63610076904297;5.578414440155029;21.658;2;0;1;6;0;0;0;0;9;2981;809;0;-33.48558378532687;0;0;NA;0
5212;ANTIOQUIA;COPACABANA;1;103;18451.3386;5800.9810665;60768.8;0.13852280229330063;18.33585548400879;71;0.2824999988079071;0.4025000035762787;518755.575;8.140809535980225;429396.90625;2535.375244140625;95.3095703125;10.019865036010742;9.74;0;1;19;1;0;0;0;0;1;473;2480;0;NA;0;1;26.779999999999998;0
5234;ANTIOQUIA;DABEIBA;1;109;7496.0037693;6298.95897525;24062.4;0.643087899684906;112.31250762939453;1905;0.6299999952316284;0.5062000155448914;149731.009375;6.809988594055175;151010.43203125;35939.0458984375;63.76012420654297;5.011015892028809;35.092;35;0;3;1;5;0;0;9;37;23534;10430;0;NA;0;0;-15.639999999999997;0
5237;ANTIOQUIA;DON MATIAS;1;112;8024.6160085;2764.86431125;17568;0.35809349119663236;41.30860137939453;183;0.6299999952316284;0.5062000155448914;176869.759375;9.525416564941406;174027.89375;6311.7283203125;93.38800811767578;8.031050682067871;13.99;1;0;1;2;0;0;0;0;0;262;1285;0;NA;0;0;NA;0
5240;ANTIOQUIA;EBEJICO;1;115;4948.3664906;3301.300479;12570.5;0.8308013796806335;14.745426177978516;238;0.6299999952316284;0.5062000155448914;108554.9828125;9.222715377807617;126726.36953125;31854.504296875;80.43907165527344;6.324234962463379;16.65;0;1;0;0;0;0;0;0;0;490;130;0;-7.413793103448278;1;0;NA;0
5250;ANTIOQUIA;EL BAGRE;1;117;16252.0667111;9115.583721;45855.1;0.44625266790390017;179.38217163085938;1951;0.6299999952316284;0.5062000155448914;315370.95;6.890167140960694;243161.375;21092.5130859375;80.51099395751953;6.815230846405029;21.328;3;1;13;0;1;1;0;2;105;24624;10351;0;NA;0;0;-23.18;0
5264;ANTIOQUIA;ENTRERRIOS;1;118;5956.5245833;2292.313680625;8363.4;0.5391757130622864;35.80974197387695;222;0.6299999952316284;0.5062000155448914;80480.4203125;9.277804946899414;78434.04609375;12409.778125;96.45115661621094;8.074174880981445;15.94;0;0;1;0;0;0;0;0;0;102;252;1;6.484424666242845;1;0;NA;0
5266;ANTIOQUIA;ENVIGADO;1;121;107313.3187;26712.945433875;172189.7;0.05115385577082634;15.925768852233887;51;0.2824999988079071;0.4025000035762787;1512595.125;8.127186012268066;1315354.575;887.5867431640625;96.31755828857422;11.782968521118164;7.746;0;0;27;0;0;0;0;0;0;235;2343;0;-32.713979005273416;0;0;NA;0
5282;ANTIOQUIA;FREDONIA;1;124;7469.1671684;3739.162919;22672.5;0.6200033187866211;44.23552322387695;250;0.582099974155426;0.48899999260902405;206192.08125;9.583244132995606;182565.2171875;26298.8689453125;85.5134048461914;7.29716157913208;15.066;0;3;8;1;0;0;0;0;8;352;393;0;-16.122730406803033;0;0;NA;0
5284;ANTIOQUIA;FRONTINO;1;127;8480.6107407;5617.807009125;20227.4;0.6222565174102783;86.91658020019531;1278;0.6299999952316284;0.5062000155448914;162832.48125;8.7216007232666;179745.684375;25894.523828125;80.46598052978516;6.556812763214111;21.602;12;0;5;1;0;0;0;1;21;8473;6052;0;-30.302279484638248;0;0;NA;0
5306;ANTIOQUIA;GIRALDO;1;130;3124.006153;2082.35528425;4173.1;0.7159003138542175;52.12543487548828;97;0.6299999952316284;0.5062000155448914;20899.953125;5.1623108863830565;22893.087109375;5161.15263671875;90.1890869140625;7.00178861618042;34.05;3;0;2;0;0;0;0;0;0;352;113;0;-21.701323251417776;0;1;2.509999999999998;1
5308;ANTIOQUIA;GIRARDOTA;1;133;16486.1967822;4763.454194;42115.3;0.4136775523424149;23.122577667236328;79;0.2824999988079071;0.4025000035762787;256102.41875;5.661054801940918;208913.64375;13521.72822265625;92.5186538696289;9.28201961517334;9.948;1;0;26;7;0;1;0;1;1;662;1426;1;6.256593734232375;1;1;9.489999999999998;1
5310;ANTIOQUIA;GOMEZ PLATA;1;136;5818.0086874;2868.827441125;11131.4;0.5498866856098175;68.82402801513672;364;0.6299999952316284;0.5062000155448914;89838.609375;7.825471305847168;87691.84453125;9927.00087890625;85.65503692626953;6.957620143890381;15.612;0;1;0;0;1;0;0;1;4;501;216;0;-3.854001360235774;1;0;NA;0
5313;ANTIOQUIA;GRANADA;1;139;5535.2134664000005;3021.899539875;10232.9;0.5958516061306;60.450164794921875;185;0.47049999237060547;0.4666999876499176;54277.49140625;6.4882184028625485;64142.184765625;22962.1986328125;90.868560791015625;6.70166540145874;17.768;28;9;19;9;1;1;0;0;18;30504;8446;0;NA;0;0;NA;0
